Time,Value
2023-12-25 11:06:07,
2023-12-25 11:06:09,2
2023-12-25 11:06:11,1
2023-12-25 11:06:13,2
2023-12-25 11:06:15,1
2023-12-25 11:06:18,1
2023-12-25 11:06:20,1
2023-12-25 11:06:22,2
2023-12-25 11:06:24,110
2023-12-25 11:06:26,102
2023-12-25 11:06:28,100
2023-12-25 11:06:30,100
2023-12-25 11:06:32,99
2023-12-25 11:06:34,99
2023-12-25 11:06:37,99
2023-12-25 11:06:39,99
2023-12-25 11:06:41,99
2023-12-25 11:06:43,99
2023-12-25 11:06:45,99
2023-12-25 11:06:47,99
2023-12-25 11:06:49,99
2023-12-25 11:06:51,99
2023-12-25 11:06:53,99
2023-12-25 11:06:55,99
2023-12-25 11:06:58,98
2023-12-25 11:07:00,98
2023-12-25 11:07:02,98
2023-12-25 11:07:04,98
2023-12-25 11:07:06,98
2023-12-25 11:07:08,98
2023-12-25 11:07:10,98
2023-12-25 11:07:12,98
2023-12-25 11:07:14,98
2023-12-25 11:07:17,98
2023-12-25 11:07:19,98
2023-12-25 11:07:21,98
2023-12-25 11:07:23,98
2023-12-25 11:07:25,98
2023-12-25 11:07:27,98
2023-12-25 11:07:29,98
2023-12-25 11:07:31,98
2023-12-25 11:07:33,98
2023-12-25 11:07:36,98
2023-12-25 11:07:38,98
2023-12-25 11:07:40,98
2023-12-25 11:07:42,98
2023-12-25 11:07:44,98
2023-12-25 11:07:46,98
2023-12-25 11:07:48,98
2023-12-25 11:07:50,98
2023-12-25 11:07:52,98
2023-12-25 11:07:55,98
2023-12-25 11:07:57,98
2023-12-25 11:07:59,98
2023-12-25 11:08:01,98
2023-12-25 11:08:03,98
2023-12-25 11:08:05,98
2023-12-25 11:08:07,98
2023-12-25 11:08:09,97
2023-12-25 11:08:11,98
2023-12-25 11:08:13,98
2023-12-25 11:08:16,98
2023-12-25 11:08:18,98
2023-12-25 11:08:20,98
2023-12-25 11:08:22,98
2023-12-25 11:08:24,98
2023-12-25 11:08:26,98
2023-12-25 11:08:28,98
2023-12-25 11:08:30,98
2023-12-25 11:08:32,98
2023-12-25 11:08:35,98
2023-12-25 11:08:37,98
2023-12-25 11:08:39,98
2023-12-25 11:08:41,98
2023-12-25 11:08:43,98
2023-12-25 11:08:45,98
2023-12-25 11:08:47,98
2023-12-25 11:08:49,98
2023-12-25 11:08:51,98
2023-12-25 11:08:54,98
2023-12-25 11:08:56,98
2023-12-25 11:08:58,98
2023-12-25 11:09:00,98
2023-12-25 11:09:02,98
2023-12-25 11:09:04,98
2023-12-25 11:09:06,98
2023-12-25 11:09:08,98
2023-12-25 11:09:10,98
